X;Y;osm_id;name;operator;accepts_bottle;indoor;offers_cold_water;offers_warm_water;offers_hot_water;fee;description;com_insee;com_nom
5.7383622;45.1700328004511;node/9483924033;;;;;;;;;;"38185";Grenoble
6.0518897;45.1415131004541;node/9485614548;;;;;;;;;;"38289";Oz
6.0507665;45.1382793004544;node/9485619042;;;;;;;;;;"38289";Oz
5.7447732;45.1853253004495;node/9518969718;;;;;;;;;;"38185";Grenoble
4.8751226;45.5273641004094;node/9536931484;;;;;;;;;;"38544";Vienne
5.1227902;45.8013211003722;node/9537483315;;;;;;;;;Pompe manuelle;"38557";Villette-d'Anthon
5.7175995;45.1812523004499;node/9548242817;;;;;;;;;;"38185";Grenoble
5.5788794;45.3802948004275;node/9556077166;;;yes;;;;;;;"38563";Voiron
5.9562548;45.2219985004455;node/9583681954;Fontaine de Pré Marcel;;;;;;;;;"38350";Sainte-Agnès
5.8605586;45.1030874004581;node/9583682009;;;;;;;;;;"38529";Vaulnaveys-le-Haut
5.4949316;45.307329200436;node/9584769560;;;;;;;;;;"38517";Tullins
5.4932884;45.3040788004364;node/9587206152;;;;;;;;;;"38517";Tullins
5.509093;45.235551300444;node/9591901544;;;;;;;;;;"38338";La Rivière
5.5142087;45.2463792004429;node/9591901555;;;;;;;;;;"38450";Saint-Quentin-sur-Isère
5.8588957;45.2907492004379;node/9592362613;;;;;;;;;;"38395";Plateau-des-Petites-Roches
5.664241;45.254275100442;node/959595058;Borne d'eau;;;;;;;;;"38170";Fontanil-Cornillon
5.7404858;45.1998710004479;node/9603678817;;;;;;;;;;"38185";Grenoble
5.7266993;45.1845297004496;node/961786102;;;;;;;;;;"38185";Grenoble
5.8823327;45.2331083004443;node/9625937858;;;;;;;;;;"38547";Villard-Bonnot
5.7955006;44.9403634004738;node/9635616905;;;;;;;;;;"38396";Saint-Honoré
5.7955498;44.9416384004737;node/9635618864;;;;;;;;;;"38396";Saint-Honoré
5.7435308;45.1883572004492;node/9642937418;;;;;;;;;;"38185";Grenoble
